Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,0.7115384615384616,Male,Blouse,Clothing,0.4125000000000001,Kentucky,L,Gray,Winter,0.2400000000000002,Yes,Credit Card,Express,Yes,Yes,0.26530612244897955,Venmo,Fortnightly
2,0.019230769230769273,Male,Sweater,Clothing,0.55,Maine,L,Maroon,Winter,0.2400000000000002,Yes,Bank Transfer,Express,Yes,Yes,0.02040816326530612,Cash,Fortnightly
3,0.6153846153846154,Male,Jeans,Clothing,0.6625000000000001,Massachusetts,S,Maroon,Spring,0.2400000000000002,Yes,Cash,Free Shipping,Yes,Yes,0.44897959183673464,Credit Card,Weekly
4,0.05769230769230771,Male,Sandals,Footwear,0.875,Rhode Island,M,Maroon,Spring,0.40000000000000013,Yes,PayPal,Next Day Air,Yes,Yes,0.9795918367346937,PayPal,Weekly
5,0.5192307692307693,Male,Blouse,Clothing,0.36250000000000004,Oregon,M,Turquoise,Spring,0.08000000000000007,Yes,Cash,Free Shipping,Yes,Yes,0.6122448979591836,PayPal,Annually
6,0.5384615384615385,Male,Sneakers,Footwear,0.0,Wyoming,M,White,Summer,0.15999999999999992,Yes,Venmo,Standard,Yes,Yes,0.26530612244897955,Venmo,Weekly
7,0.8653846153846155,Male,Shirt,Clothing,0.8125,Montana,M,Gray,Fall,0.28000000000000025,Yes,Debit Card,Free Shipping,Yes,Yes,0.9795918367346937,Cash,Quarterly
8,0.17307692307692313,Male,Shorts,Clothing,0.17500000000000004,Louisiana,L,Charcoal,Winter,0.28000000000000025,Yes,Debit Card,Free Shipping,Yes,Yes,0.36734693877551017,Credit Card,Weekly
9,0.15384615384615385,Male,Coat,Outerwear,0.9625000000000001,West Virginia,L,Silver,Summer,0.040000000000000036,Yes,Venmo,Express,Yes,Yes,0.14285714285714285,Venmo,Annually
10,0.7500000000000001,Male,Handbag,Accessories,0.1375,Missouri,M,Pink,Spring,0.9199999999999999,Yes,PayPal,2-Day Shipping,Yes,Yes,0.061224489795918366,Cash,Quarterly
